'État';'État';'';'';'';'';''
'EP PNC';'EP PNC';'04 66 49 53 00';'';'6 bis place du Palais';'48400';'Florac-Trois-Rivières'
'Centre hospitalier';'Centre hospitalier de Florac';'04 66 49 63 00';'florac-direction@ch-mende.fr';'6 place de l''ancienne gare';'48400';'Florac-Trois-Rivières'
'Centre hospitalier';'Centre hospitalier de Ponteils';'04 66 56 47 00';'direction@ch-ponteils.fr';'Pelandry';'30450';'Ponteils-et-Brésis'
'Groupement forestier';'GF de Campis';'';'';'Rue des Apies';'48150';'Meyrueis'
'Commune';'Commune d''Allenc';'04 66 47 66 79';'allenc.mairie@wanadoo.fr';'Le Village';'48190';'Allenc'
'Commune';'Commune d''Altier';'04 66 46 81 61';'commune-altier@orange.fr';'Village';'48800';'Altier'
'Commune';'Commune de Chadenet';'04 66 47 61 41';'mairie.chadenet@wanadoo.fr';'Village';'48190';'Chadenet'
'Commune';'Commune de Concoules';'04 66 61 15 62';'mairie.concoules@orange.fr';'Le Village';'30450';'Concoules'
'Commune';'Commune de Cubiérettes';'04 66 48 61 62';'';'Cubierettes';'48190';'Cubierettes'
'Commune';'Commune de Florac-Trois-Rivières';'04 66 45 00 53';'mairie@floractroisrivieres.fr';'2 place Louis-Dides';'48400';'Florac-Trois-Rivières'
'Commune';'Commune de Lanuéjols';'04 67 82 70 83';'contact@lanuejols.fr';'Place Fontaine';'30750';'Lanuéjols'
'Commune';'Commune de Ponteils-et-Brésis';'04 66 61 11 74';'mairie.ponteils@nordnet.fr ';'Le Village';'30450';'Ponteils-et-Brésis'
'Commune';'Commune de Rousses';'04 66 44 08 74';'communederousses@wanadoo.fr';'Le Village';'48400';'Rousses'
'Commune';'Commune de Saint-Etienne-du-Valdonnez';'';'';'';'';''
'Commune';'Commune de Saint-Germain-de-Calberte';'04 66 45 90 06';'mairie.saint-germain-de-calb@wanadoo.fr';'Le Village';'48370';'Saint-Germain-de-Calberte'
'Commune';'Commune de Saint-Sauveur-Camprieu';'04 67 82 60 26';'';'Place de la Mairie';'30750';'Saint-Sauveur-Camprieu'
'Commune';'Commune de Villefort';'04 66 46 80 26';'mairie.villefort@wanadoo.fr';'19 rue de l''Église';'48800';'Villefort'
'Section / hameau';'Section d''Ayres';'';'';'';'';''
'Section / hameau';'Section de Cocurès';'';'';'';'';''
'Section / hameau';'Section de Bac, les Clauzels, Fraissinet, l''Hom, Perjuret, le Veygalier et Montcamp';'';'';'';'';''
'Section / hameau';'Section de Bac, les Clauzels, Fraissinet, l''Hom, Perjuret et le Veygalier';'';'';'';'';''
'Section / hameau';'Section de Barre-des-Cévennes';'';'';'';'';''
'Section / hameau';'Section de La Borie';'';'';'';'';''
