nom_lieu_csv,correspondance,id_correspondance,type_correspondance,raison,id_zone_indicative_realisee,id_zone_cynegetique_realisee,id_commune,id_lieu_tir,nom_lieu_tir,lattitude,longitude
malpertus,Malpertus,1242.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277424,564.0,Malpertus,6331610.528150185,741365.603619535
aubespi,L'Aubespi,1267.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277424,579.0,L'Aubespi,6326837.541649427,736546.0133389344
Les hubertes,Les Hubertes,1248.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277427,567.0,Col des Ubertes Nord,,
Minier,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277420,,,6322348.164959634,745256.2053024551
le bois de l'homme,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277420,,,,
Les plos,Les Plos,1281.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277423,585.0,Les Lauzières,,
La fabrie,La Fabrié,1277.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277423,584.0,La Fabrié,,
Le bleu,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277423,,,,
campatour,Campatour,35.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277419,23.0,Campatour,,
3 quiles,Les 3 quilles,91.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,6.0,2.0,277425,43.0,Les Trois Quilles,,
3quilles,Les 3 quilles,91.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,6.0,2.0,277425,43.0,Les Trois Quilles,,
parc à mouflon,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277425,,,6322614.973684619,742218.484585396
trois quilles,Les Trois Quilles,92.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277425,43.0,Les Trois Quilles,,
trois quille,Les Trois Quilles,92.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,6.0,2.0,277425,43.0,Les Trois Quilles,,
parc à mouflon,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277425,,,,
ZT St Sauveur,St Sauveur,1438.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,27.0,2.0,277427,661.0,La Can,6335348.655118016,738260.2381130932
Saint sauveur P33,St Sauveur,1438.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,27.0,2.0,277427,661.0,La Can,6336049.396047264,737084.2788736329
la fage,La Fage,134.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,16.0,5.0,277393,67.0,La Fage,,
grand bois,,,AUCUNE,Aucun nom similaire retrouvé,31.0,5.0,277401,,,,
Bourrassade,Bourrassade,1677.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,31.0,5.0,277378,770.0,Rau de Bourrassade,,
Lassognes,,,AUCUNE,Aucun nom similaire retrouvé,31.0,5.0,277378,,,,
Rond de la belle,,,AUCUNE,Aucun nom similaire retrouvé,31.0,5.0,277382,,,6370659.531232471,770638.0295375669
chalet de l'aigle,Chalet de l'Aigle,57.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277382,30.0,Rocher de l'Aigle,6369001.832168501,766969.2404490054
chalet de l'aigle,Chalet de l'Aigle,57.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277382,30.0,Rocher de l'Aigle,6369584.699223027,768378.6218618097
commandeur,Le Commandeur,490.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277387,203.0,Bois du Commandeur,6364578.625804034,766083.3054556088
chalet de l'aigle,Chalet de l'Aigle,57.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277382,30.0,Rocher de l'Aigle,6369447.568418739,767821.1891022519
bellecoste,Bellecoste,608.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277400,261.0,Bois de Bellecoste,6365470.21458959,768526.9488481069
finiel,Finiels,451.0,SIMILAIRE_COMMUNE,Nom similaire retrouvé dans la commune,2.0,5.0,277400,183.0,Finiels,,
finiel,Finiels,451.0,SIMILAIRE_ZC,Nom similaire retrouvé dans la ZC,2.0,6.0,277392,183.0,Finiels,6369461.966939653,763674.525517387
bellecoste,Bellecoste,608.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277387,261.0,Bois de Bellecoste,6366008.9613204505,768622.2509828253
finiel,Finiels,451.0,SIMILAIRE_ZC,Nom similaire retrouvé dans la ZC,2.0,6.0,277392,183.0,Finiels,6369389.73097194,763672.0724827739
mt lozere ouest,,,AUCUNE,Aucun nom similaire retrouvé,2.0,6.0,277392,,,6371155.355725894,763815.7688186724
mejarié,Le Jarlié,515.0,SIMILAIRE_ZC,Nom similaire retrouvé dans la ZC,2.0,6.0,277400,218.0,Les Taillades,6364627.813398904,768296.2894965417
chalet de l'aigle,Chalet de l'Aigle,57.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277382,30.0,Rocher de l'Aigle,6368764.013372464,766648.4875353192
commandeur,Le Commandeur,490.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277387,203.0,Bois du Commandeur,6364292.153363122,766098.2672074634
chalet de l aigle,Chalet de l'Aigle,57.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277382,30.0,Rocher de l'Aigle,6368097.897619365,767212.9986863782
mont Lozère ouest,,,AUCUNE,Aucun nom similaire retrouvé,2.0,6.0,277392,,,6370727.795765683,763281.2086805981
finiels,Finiels,451.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,2.0,6.0,277400,183.0,Finiels,6368791.83240695,762095.9639321069
commandeur,Le Commandeur,490.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,2.0,6.0,277400,203.0,Bois du Commandeur,6296173.753729436,617079.5474496784
Castagnol,Castagnols,557.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,7.0,6.0,277387,238.0,Castagnols,,
Marmite,,,AUCUNE,Aucun nom similaire retrouvé,7.0,6.0,277387,,,,
Gourdouse,Gourdouse,574.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,246.0,Gourdouse,,
Masmejean,Masméjean,430.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277387,167.0,Masméjean,,
Les bastides,Les Bastides,525.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277389,222.0,Les Bastides,,
Paroissiens,Paroissien,376.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,7.0,6.0,277387,160.0,Puech Rouchien,,
Malfraiset,Malfraise,528.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,7.0,6.0,277387,224.0,Malfrésès (Rnes),,
Espizio,,,AUCUNE,Aucun nom similaire retrouvé,7.0,6.0,277387,,,,
Les Vernets,Les Vernets,387.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,7.0,6.0,277400,162.0,Les Vernets,,
montgros,Montgros,449.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277400,181.0,Montgros,,
finiels,Finiels,451.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277400,183.0,Finiels,,
mallevriere,Mallevrière,348.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277400,155.0,Rau de Mallevrière,,
mouracou,,,AUCUNE,Aucun nom similaire retrouvé,18.0,6.0,277400,,,,
La Brousse,La Brousse,470.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277400,193.0,La Brousse,,
montgros,Montgros,449.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277400,181.0,Montgros,,
le villaret,Le Villaret,274.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277394,129.0,Le Villaret (Le Pont-de-Montvert),,
Le Villaret,Le Villaret,274.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277400,129.0,Le Villaret (Le Pont-de-Montvert),,
chazette,Les Chazettes,282.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,18.0,6.0,277400,134.0,Les Chazettes,,
Mouracou. Mt Lozère,,,AUCUNE,Aucun nom similaire retrouvé,18.0,6.0,277400,,,,
mallevriere,Mallevrière,348.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,18.0,6.0,277400,155.0,Rau de Mallevrière,6363381.79402973,758534.4947438266
chaumette,La Chaumette,116.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,14.0,6.0,277375,59.0,La Chaumette,,
empezou,Lempézou,240.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,14.0,6.0,277394,115.0,Mont de Lempézou,,
bonne louche,Bonne Louche,1757.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,42.0,6.0,277399,817.0,Indéterminé,,
terre des Laubies,,,AUCUNE,Aucun nom similaire retrouvé,42.0,6.0,277394,,,,
Les Laubies,Les Laubies,144.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,32.0,6.0,277393,72.0,Les Laubies,6372267.616970837,751490.1824620097
les laubies,Les Laubies,144.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,32.0,6.0,277393,72.0,Les Laubies,6371032.190632514,751614.1270044674
Les Laubies,Les Laubies,144.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,32.0,6.0,277393,72.0,Les Laubies,6374452.405333423,743988.940195374
les laubies,Les Laubies,144.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,32.0,6.0,277393,72.0,Les Laubies,6371188.895692964,751214.8760200137
font bernard,Font Bernard,478.0,EXACTE_ZC,Nom exact retrouvé dans la ZC,32.0,6.0,277399,196.0,Rau de Font Bernard,6370255.572164949,753202.2531430764
Font Bernard,Font Bernard,478.0,EXACTE_ZC,Nom exact retrouvé dans la ZC,32.0,6.0,277399,196.0,Rau de Font Bernard,6372185.115167296,751724.8243974722
les Laubies,Les Laubies,144.0,EXACTE_COMMUNE,Nom exact retrouvé dans la commune,32.0,6.0,277393,72.0,Les Laubies,6371491.755243532,751841.1608650074
font bernard,Font Bernard,478.0,EXACTE_ZC,Nom exact retrouvé dans la ZC,32.0,6.0,277399,196.0,Rau de Font Bernard,6370265.197778329,754069.8658008802
font bernard,Font Bernard,478.0,EXACTE_ZC,Nom exact retrouvé dans la ZC,32.0,6.0,277399,196.0,Rau de Font Bernard,6370303.522790892,754005.0564088514
TCA D'ALTEFAGE,Altefage,289.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,24.0,6.0,277400,137.0,ZIC II Altefage Les Trois Fayards,,
TCA d'Altefage,Altefage,289.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,24.0,6.0,277400,137.0,ZIC II Altefage Les Trois Fayards,6361475.306806781,755459.2094936405
TCA D'ALTEFAGE,Altefage,289.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,24.0,6.0,277400,137.0,ZIC II Altefage Les Trois Fayards,,
TCA D'ALTEFAGE,Altefage,289.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,24.0,6.0,277400,137.0,ZIC II Altefage Les Trois Fayards,,
TCA D'ALTEFAGE,Altefage,289.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,24.0,6.0,277400,137.0,ZIC II Altefage Les Trois Fayards,,
TCA D'ALTEFAGE,Altefage,289.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,24.0,6.0,277400,137.0,ZIC II Altefage Les Trois Fayards,,
la tour,La Tour,352.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,8.0,6.0,277400,156.0,ZIC IV Bartabelle,6358065.863915386,761684.254734294
La tour,La Tour,352.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,8.0,6.0,277400,156.0,ZIC IV Bartabelle,6358264.974555114,761368.0549532882
la tour,La Tour,352.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,8.0,6.0,277400,156.0,ZIC IV Bartabelle,6358455.152094571,762963.7245042624
St Maurice,,,AUCUNE,Aucun nom similaire retrouvé,8.0,6.0,277400,,,6358554.179771753,762978.6854420053
sant maurice,,,AUCUNE,Aucun nom similaire retrouvé,8.0,6.0,277400,,,6358038.681413996,764839.90804725
St Maurice,,,AUCUNE,Aucun nom similaire retrouvé,8.0,6.0,277400,,,6357888.441452138,764054.9792702998
La tour,La Tour,352.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,8.0,6.0,277400,156.0,ZIC IV Bartabelle,6358195.509245933,762774.0990763503
La tour,La Tour,352.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,8.0,6.0,277400,156.0,ZIC IV Bartabelle,6358749.715090098,761289.9587621704
la cham privée,La Cham privée,333.0,EXACTE_MULTIPLE_ZI,Plusieurs noms exacts retrouvés dans la ZI,8.0,6.0,277400,151.0,ZIC VI La Cham Privée,6360959.505333664,760951.9435671119
Ronc Pourrit,,,AUCUNE,Aucun nom similaire retrouvé,8.0,6.0,277404,,,6357615.5322378175,758620.0428411796
le col du bougès,Col du Bonnet,513.0,SIMILAIRE_COMMUNE,Nom similaire retrouvé dans la commune,8.0,6.0,277400,216.0,Col du Bonnet,6359213.7909444,759871.5361159192
La Tour,La Tour,352.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,8.0,6.0,277400,156.0,ZIC IV Bartabelle,6358051.0705316635,762325.6827704083
cannarie bas,,,AUCUNE,Aucun nom similaire retrouvé,37.0,7.0,277391,,,6354101.881329067,765649.0350654757
le rond des baumes,,,AUCUNE,Aucun nom similaire retrouvé,37.0,7.0,277391,,,,
pin de pivert,,,AUCUNE,Aucun nom similaire retrouvé,37.0,7.0,277391,,,,
pin de pivert,,,AUCUNE,Aucun nom similaire retrouvé,37.0,7.0,277391,,,,
Canaries bas,,,AUCUNE,Aucun nom similaire retrouvé,37.0,7.0,277391,,,,
Canaries bas,,,AUCUNE,Aucun nom similaire retrouvé,37.0,7.0,277391,,,,
bartavelle,Bartavelle,1557.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,37.0,7.0,277391,719.0,Font Bonne,,
solperan,Solpéran,861.0,EXACTE_ZC,Nom exact retrouvé dans la ZC,37.0,7.0,277391,362.0,Solpéran,,
Canaries haut,,,AUCUNE,Aucun nom similaire retrouvé,37.0,7.0,277391,,,,
mas neuf,Le Mas Neuf,811.0,EXACTE_MULTIPLE_ZI,Plusieurs noms exacts retrouvés dans la ZI,37.0,7.0,277391,344.0,Le Mas Neuf,,
signal de ventalon,Signal de Ventalon,943.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,37.0,7.0,277391,398.0,Signal de Ventalon Ouest,,
Le malhautier,Malhautier,765.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,25.0,7.0,277396,322.0,Maillautier,,
castanet,Le Castanet,771.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,25.0,7.0,277396,326.0,Le Castanet,,
bois de malzac,Bois de Malzac,1013.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,25.0,7.0,277396,437.0,Bois de Malzac,6337821.4465871835,770285.3234873638
Vergougnoux,Le Vergougnous,784.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,25.0,7.0,277396,334.0,Le Vergougnous,6349756.504533091,752196.9671035311
castelviel,Castelviel,998.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,25.0,7.0,277407,428.0,Castelviel,,
Ferrus,Ferrus (ZIC de Fontmort),1612.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,33.0,7.0,277404,731.0,Ferrus (ZIC de Fontmort),6351649.551614812,761430.127403012
Fontmort zone 3,,,AUCUNE,Aucun nom similaire retrouvé,33.0,7.0,277395,,,6351356.534897606,761002.6119447025
fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277409,414.0,Fretma,,
Volpilloux,Volpilloux,1030.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,449.0,Volpilloux,,
Fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277409,414.0,Fretma,,
fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,414.0,Fretma,,
volpilloux,Volpilloux,1030.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,449.0,Volpilloux,,
fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,414.0,Fretma,,
fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,414.0,Fretma,,
fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,414.0,Fretma,,
fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,414.0,Fretma,,
Volpilloux,Volpilloux,1030.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,449.0,Volpilloux,,
Fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277409,414.0,Fretma,,
Volpilloux,Volpilloux,1030.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,449.0,Volpilloux,,
volpilloux,Volpilloux,1030.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,449.0,Volpilloux,,
volpilloux,Volpilloux,1030.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,449.0,Volpilloux,6355936.434075941,744761.6772769119
fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,414.0,Fretma,,
volpilloux,Volpilloux,1030.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,449.0,Volpilloux,,
fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277409,414.0,Fretma,,
fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,414.0,Fretma,,
Volpilloux,Volpilloux,1030.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,449.0,Volpilloux,,
fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,414.0,Fretma,,
Fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277409,414.0,Fretma,,
fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277409,414.0,Fretma,,
fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,414.0,Fretma,,
Fretma,Fretma,974.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277409,414.0,Fretma,,
volpilloux,Volpilloux,1030.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,13.0,3.0,277394,449.0,Volpilloux,,
mas de la font,Mas de la Font,347.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,39.0,3.0,277428,154.0,Mas de la Font,,
mas de la font,Mas de la Font,347.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,39.0,3.0,277428,154.0,Mas de la Font,,
Aire de côte,Aire de Côte,1186.0,EXACTE_MULTIPLE_ZI,Plusieurs noms exacts retrouvés dans la ZI,28.0,1.0,277406,531.0,Forêt d'Aire de Côte,6368520.516671972,752566.3877062653
Tabilloux,Tabilloux,1379.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,28.0,1.0,277431,629.0,Forêt de Tabilloux,,
Aire de Côte,Aire de Côte,1186.0,EXACTE_MULTIPLE_ZI,Plusieurs noms exacts retrouvés dans la ZI,28.0,1.0,277406,531.0,Forêt d'Aire de Côte,,
tabilloux,Tabilloux,1379.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,28.0,1.0,277431,629.0,Forêt de Tabilloux,,
Aire de Côte,Aire de Côte,1186.0,EXACTE_MULTIPLE_ZI,Plusieurs noms exacts retrouvés dans la ZI,28.0,1.0,277406,531.0,Forêt d'Aire de Côte,,
campredon,Campredon,1063.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,5.0,1.0,277428,467.0,Campredon,,
Campis,Campis,1061.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,4.0,1.0,277428,465.0,Campis,,
fournique,,,AUCUNE,Aucun nom similaire retrouvé,4.0,1.0,277406,,,,
Radalesse,,,AUCUNE,Aucun nom similaire retrouvé,4.0,1.0,277429,,,,
Col de Portes,Col des Portes,1123.0,SIMILAIRE_ZI,Nom similaire retrouvé dans la ZI,4.0,1.0,277429,494.0,Col de Porte,,
Peyremoula,Peyremoula,1056.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,4.0,1.0,277428,462.0,Peyremoula,,
saut d'herault,Saut l'Hérault,1348.0,EXACTE_ZI,Nom exact retrouvé dans la ZI,6.0,2.0,277413,615.0,Cascades de l'Hérault,6333045.753448521,744114.7714267619
la sereyrede,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277413,,,,
sambuguet,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277413,,,6333045.753448521,744114.7714267619
sambuguet,,,AUCUNE,Aucun nom similaire retrouvé,6.0,2.0,277413,,,,
